AREA_KM2,CD_MUN,SIGLA,time,NM_MUN,t2m,t2m_min,t2m_max
1200.329,3304557,RJ,11/3/01,RiodeJaneiro,20.6093,19.55273,21.79208
1200.329,3304557,RJ,11/4/01,RiodeJaneiro,19.9413,19.12008,20.55148
1200.329,3304557,RJ,11/5/01,RiodeJaneiro,20.7873,19.4218,22.47537
1200.329,3304557,RJ,11/6/01,RiodeJaneiro,22.35305,19.47045,25.95782
1200.329,3304557,RJ,11/7/01,RiodeJaneiro,24.4843,20.64373,29.28066
1200.329,3304557,RJ,11/8/01,RiodeJaneiro,25.0289,21.94045,29.67095
1200.329,3304557,RJ,11/9/01,RiodeJaneiro,23.09393,21.46914,25.0663
1200.329,3304557,RJ,11/10/01,RiodeJaneiro,23.79104,21.17864,27.47024
1200.329,3304557,RJ,11/11/01,RiodeJaneiro,25.62963,21.55767,30.76568
1200.329,3304557,RJ,11/12/01,RiodeJaneiro,23.3391,21.9554,24.15112
1200.329,3304557,RJ,11/13/01,RiodeJaneiro,22.36608,21.48785,23.4454
1200.329,3304557,RJ,11/14/01,RiodeJaneiro,23.14578,20.89434,26.48522
1200.329,3304557,RJ,11/15/01,RiodeJaneiro,25.17315,21.83822,29.95397
1200.329,3304557,RJ,11/16/01,RiodeJaneiro,23.99893,22.2958,25.99023
1200.329,3304557,RJ,11/17/01,RiodeJaneiro,23.65536,22.39932,25.5638
1200.329,3304557,RJ,11/18/01,RiodeJaneiro,22.59176,21.38186,24.27456
1200.329,3304557,RJ,11/19/01,RiodeJaneiro,23.4646,21.13998,25.82067
1200.329,3304557,RJ,11/20/01,RiodeJaneiro,24.1244,22.15865,26.25582
1200.329,3304557,RJ,11/21/01,RiodeJaneiro,24.79418,21.96664,27.77075
1200.329,3304557,RJ,11/22/01,RiodeJaneiro,26.03048,22.00405,30.54247
1200.329,3304557,RJ,11/23/01,RiodeJaneiro,26.43682,24.5526,29.01882
1200.329,3304557,RJ,11/24/01,RiodeJaneiro,26.77798,23.4479,31.5624
1200.329,3304557,RJ,11/25/01,RiodeJaneiro,25.84417,22.62,29.70583
1200.329,3304557,RJ,11/26/01,RiodeJaneiro,25.29562,22.327,28.47146
1200.329,3304557,RJ,11/27/01,RiodeJaneiro,26.64294,22.30953,31.46517
1200.329,3304557,RJ,11/28/01,RiodeJaneiro,25.6983,23.6973,27.8181
1200.329,3304557,RJ,11/29/01,RiodeJaneiro,24.28686,22.7534,27.44906
1200.329,3304557,RJ,11/30/01,RiodeJaneiro,25.38464,22.15243,28.64105
1200.329,3304557,RJ,12/1/01,RiodeJaneiro,24.9221,22.4205,27.26077
1200.329,3304557,RJ,12/2/01,RiodeJaneiro,23.2212,20.33453,26.09124
1200.329,3304557,RJ,12/3/01,RiodeJaneiro,23.20776,20.47915,26.0613
1200.329,3304557,RJ,12/4/01,RiodeJaneiro,23.8571,20.67864,27.51638
1200.329,3304557,RJ,12/5/01,RiodeJaneiro,24.6535,20.4355,29.0525
1200.329,3304557,RJ,12/6/01,RiodeJaneiro,26.27484,22.97784,29.15725
1200.329,3304557,RJ,12/7/01,RiodeJaneiro,27.09954,23.93417,31.34796
1200.329,3304557,RJ,12/8/01,RiodeJaneiro,26.24267,22.86562,30.5375
1200.329,3304557,RJ,12/9/01,RiodeJaneiro,26.47827,22.71975,30.94897
1200.329,3304557,RJ,12/10/01,RiodeJaneiro,24.9271,22.908,28.03506
1200.329,3304557,RJ,12/11/01,RiodeJaneiro,25.44512,22.16738,29.92156
1200.329,3304557,RJ,12/12/01,RiodeJaneiro,26.22427,22.716,30.10858
1200.329,3304557,RJ,12/13/01,RiodeJaneiro,26.12036,23.53268,30.04873
1200.329,3304557,RJ,12/14/01,RiodeJaneiro,24.5011,22.8307,26.2446
1200.329,3304557,RJ,12/15/01,RiodeJaneiro,24.36498,22.92422,25.57754
1200.329,3304557,RJ,12/16/01,RiodeJaneiro,23.28582,22.4679,24.9753
1200.329,3304557,RJ,12/17/01,RiodeJaneiro,24.11755,21.6138,27.55877
1200.329,3304557,RJ,12/18/01,RiodeJaneiro,25.61395,22.72347,29.73953
1200.329,3304557,RJ,12/19/01,RiodeJaneiro,26.18176,23.38555,28.6398
1200.329,3304557,RJ,12/20/01,RiodeJaneiro,25.95406,23.711,29.4627
1200.329,3304557,RJ,12/21/01,RiodeJaneiro,25.94708,23.8706,29.46395
1200.329,3304557,RJ,12/22/01,RiodeJaneiro,27.79757,25.3007,31.41403
1200.329,3304557,RJ,12/23/01,RiodeJaneiro,27.39453,22.94668,29.82055
1200.329,3304557,RJ,12/24/01,RiodeJaneiro,23.04608,22.07388,23.78454
1200.329,3304557,RJ,12/25/01,RiodeJaneiro,22.41183,21.08138,23.4666
1200.329,3304557,RJ,12/26/01,RiodeJaneiro,22.55917,21.55642,24.1661
1200.329,3304557,RJ,12/27/01,RiodeJaneiro,23.7105,21.67114,26.31567
1200.329,3304557,RJ,12/28/01,RiodeJaneiro,24.85412,22.70727,27.40292
1200.329,3304557,RJ,12/29/01,RiodeJaneiro,25.20886,23.31326,27.5862
1200.329,3304557,RJ,12/30/01,RiodeJaneiro,24.2116,22.44543,26.59622
1200.329,3304557,RJ,12/31/01,RiodeJaneiro,24.53646,22.53396,26.6386
11401.092,1302603,AM,1/1/01,Manaus,24.65072,20.9467,28.88293
11401.092,1302603,AM,1/2/01,Manaus,25.97988,22.0003,32.28185
11401.092,1302603,AM,1/3/01,Manaus,25.59146,22.98406,30.00012
11401.092,1302603,AM,1/4/01,Manaus,25.72976,22.05517,31.40157
11401.092,1302603,AM,1/5/01,Manaus,25.09045,22.62997,28.81933
11401.092,1302603,AM,1/6/01,Manaus,25.63247,22.38186,31.38287
11401.092,1302603,AM,1/7/01,Manaus,25.13824,21.7709,28.44778
11401.092,1302603,AM,1/8/01,Manaus,24.77172,21.73846,29.81683
11401.092,1302603,AM,1/9/01,Manaus,23.9993,22.22723,25.92788
11401.092,1302603,AM,1/10/01,Manaus,24.87408,21.61752,29.742
11401.092,1302603,AM,1/11/01,Manaus,25.851,22.3432,30.66967
11401.092,1302603,AM,1/12/01,Manaus,26.01788,22.18234,30.5699
11401.092,1302603,AM,1/13/01,Manaus,25.2248,22.01403,30.39785
11401.092,1302603,AM,1/14/01,Manaus,24.68728,21.51904,28.49517
11401.092,1302603,AM,1/15/01,Manaus,25.2761,21.1936,30.76318
11401.092,1302603,AM,1/16/01,Manaus,24.34088,21.55395,27.35928
11401.092,1302603,AM,1/17/01,Manaus,24.50204,21.30456,29.1722
11401.092,1302603,AM,1/18/01,Manaus,24.1137,21.6624,27.26702
11401.092,1302603,AM,1/19/01,Manaus,24.58218,21.57888,28.9353
11401.092,1302603,AM,1/20/01,Manaus,24.5511,21.41677,29.4864
11401.092,1302603,AM,1/21/01,Manaus,24.33212,21.2285,28.2483
11401.092,1302603,AM,1/22/01,Manaus,24.7332,21.4916,30.25448
11401.092,1302603,AM,1/23/01,Manaus,24.9623,21.51153,29.12356
11401.092,1302603,AM,1/24/01,Manaus,24.41674,21.726,29.16348
11401.092,1302603,AM,1/25/01,Manaus,24.97238,21.7684,30.0612
11401.092,1302603,AM,1/26/01,Manaus,24.79824,21.5826,29.83676
11401.092,1302603,AM,1/27/01,Manaus,25.346,21.88934,30.20458
11401.092,1302603,AM,1/28/01,Manaus,25.26736,21.61752,29.838
11401.092,1302603,AM,1/29/01,Manaus,25.24435,22.03274,30.15847
11401.092,1302603,AM,1/30/01,Manaus,25.51043,22.2347,29.8879
11401.092,1302603,AM,1/31/01,Manaus,25.00814,22.15368,28.9216
11401.092,1302603,AM,2/1/01,Manaus,24.85464,22.00405,29.83303
11401.092,1302603,AM,2/2/01,Manaus,25.7798,21.88558,32.1584
11401.092,1302603,AM,2/3/01,Manaus,25.7651,22.6088,29.7769
11401.092,1302603,AM,2/4/01,Manaus,25.04907,22.33822,28.853
11401.092,1302603,AM,2/5/01,Manaus,25.4564,21.30706,29.91906
11401.092,1302603,AM,2/6/01,Manaus,25.94973,21.73348,32.26315
11401.092,1302603,AM,2/7/01,Manaus,25.6047,21.82076,30.56866
11401.092,1302603,AM,2/8/01,Manaus,25.64742,21.9542,31.86166
11401.092,1302603,AM,2/9/01,Manaus,25.51812,21.8432,30.75695
11401.092,1302603,AM,2/10/01,Manaus,25.58386,22.1574,32.25067
11401.092,1302603,AM,2/11/01,Manaus,25.7238,21.63,30.51257
11401.092,1302603,AM,2/12/01,Manaus,25.91564,22.52648,30.57617
11401.092,1302603,AM,2/13/01,Manaus,25.38653,22.03646,29.36047
11401.092,1302603,AM,2/14/01,Manaus,25.29095,21.95666,30.46145
11401.092,1302603,AM,2/15/01,Manaus,25.8161,22.29333,30.45147
11401.092,1302603,AM,2/16/01,Manaus,26.0088,22.69854,29.50012
11401.092,1302603,AM,2/17/01,Manaus,25.128,22.6599,28.58993
11401.092,1302603,AM,2/18/01,Manaus,25.19308,22.55642,29.6535
11401.092,1302603,AM,2/19/01,Manaus,25.47753,22.7796,29.70834
11401.092,1302603,AM,2/20/01,Manaus,25.7478,22.87185,30.82803
11401.092,1302603,AM,2/21/01,Manaus,26.11782,22.60754,31.78436
11401.092,1302603,AM,2/22/01,Manaus,25.33325,22.69604,28.99764
11401.092,1302603,AM,2/23/01,Manaus,25.62502,22.37686,30.77566
11401.092,1302603,AM,2/24/01,Manaus,25.47903,22.08135,31.59857
11401.092,1302603,AM,2/25/01,Manaus,25.7813,22.3033,30.1971
11401.092,1302603,AM,2/26/01,Manaus,25.34765,22.35317,29.99636
11401.092,1302603,AM,2/27/01,Manaus,24.94848,21.80703,30.14974
11401.092,1302603,AM,2/28/01,Manaus,25.38433,22.20355,30.24575
11401.092,1302603,AM,3/1/01,Manaus,25.23568,22.0614,30.53127
11401.092,1302603,AM,3/2/01,Manaus,25.09533,22.2634,30.62353
11401.092,1302603,AM,3/3/01,Manaus,24.33917,21.73098,27.6311
11401.092,1302603,AM,3/4/01,Manaus,25.32122,22.05142,31.0138
11401.092,1302603,AM,3/5/01,Manaus,24.07867,22.0377,27.48147
11401.092,1302603,AM,3/6/01,Manaus,25.33944,21.38937,30.74322
11401.092,1302603,AM,3/7/01,Manaus,26.22906,22.44793,32.41403
11401.092,1302603,AM,3/8/01,Manaus,25.98284,22.63122,30.93774
11401.092,1302603,AM,3/9/01,Manaus,25.98348,22.32824,31.2557
11401.092,1302603,AM,3/10/01,Manaus,26.8102,22.9018,32.85665
11401.092,1302603,AM,3/11/01,Manaus,27.2749,22.7185,32.90652
11401.092,1302603,AM,3/12/01,Manaus,26.88845,23.42297,32.67834
11401.092,1302603,AM,3/13/01,Manaus,28.1178,23.51275,34.09478
11401.092,1302603,AM,3/14/01,Manaus,28.30944,23.96908,33.5337
11401.092,1302603,AM,3/15/01,Manaus,28.60375,24.01272,34.18328
11401.092,1302603,AM,3/16/01,Manaus,27.39346,23.71972,32.1796
11401.092,1302603,AM,3/17/01,Manaus,26.0163,22.43298,31.23947
11401.092,1302603,AM,3/18/01,Manaus,25.9715,21.85067,31.1946
11401.092,1302603,AM,3/19/01,Manaus,25.68142,22.18484,30.641
11401.092,1302603,AM,3/20/01,Manaus,26.83257,22.8095,33.03994
11401.092,1302603,AM,3/21/01,Manaus,26.87145,22.53146,33.29928
11401.092,1302603,AM,3/22/01,Manaus,26.69262,22.48284,32.7008
11401.092,1302603,AM,3/23/01,Manaus,24.87512,22.2983,27.98147
11401.092,1302603,AM,3/24/01,Manaus,25.37634,22.25967,30.54623
11401.092,1302603,AM,3/25/01,Manaus,25.068,22.52523,28.3929
11401.092,1302603,AM,3/26/01,Manaus,25.43118,22.66488,29.68466
11401.092,1302603,AM,3/27/01,Manaus,24.84225,22.6873,28.0176
11401.092,1302603,AM,3/28/01,Manaus,23.8475,22.0028,26.07876
11401.092,1302603,AM,3/29/01,Manaus,25.58352,21.27963,32.28808
11401.092,1302603,AM,3/30/01,Manaus,26.30804,22.30206,31.68087
11401.092,1302603,AM,3/31/01,Manaus,25.38223,22.6873,29.1086
11401.092,1302603,AM,4/1/01,Manaus,25.8224,22.8594,30.98138
11401.092,1302603,AM,4/2/01,Manaus,24.7698,21.80206,28.13732
11401.092,1302603,AM,4/3/01,Manaus,25.87872,21.9704,31.85543
11401.092,1302603,AM,4/4/01,Manaus,26.5235,23.1262,32.4826
11401.092,1302603,AM,4/5/01,Manaus,25.6985,22.89678,30.18963
11401.092,1302603,AM,4/6/01,Manaus,24.71813,22.66738,27.43908
11401.092,1302603,AM,4/7/01,Manaus,25.02053,22.11877,28.55377
11401.092,1302603,AM,4/8/01,Manaus,25.32562,21.84072,30.5512
11401.092,1302603,AM,4/9/01,Manaus,25.0685,22.15493,28.92782
11401.092,1302603,AM,4/10/01,Manaus,25.97592,22.49157,32.2382
11401.092,1302603,AM,4/11/01,Manaus,26.40133,22.48907,31.5512
11401.092,1302603,AM,4/12/01,Manaus,25.5781,22.9716,29.25076
11401.092,1302603,AM,4/13/01,Manaus,25.49676,22.1724,30.76443
11401.092,1302603,AM,4/14/01,Manaus,25.71395,21.923,31.3592
11401.092,1302603,AM,4/15/01,Manaus,25.56512,22.41552,30.9103
11401.092,1302603,AM,4/16/01,Manaus,26.15093,22.21227,31.23574
11401.092,1302603,AM,4/17/01,Manaus,25.76382,22.81948,30.46517
11401.092,1302603,AM,4/18/01,Manaus,25.21807,21.8033,29.67468
11401.092,1302603,AM,4/19/01,Manaus,25.28042,21.6936,30.1061
11401.092,1302603,AM,4/20/01,Manaus,26.05938,21.92675,31.00506
11401.092,1302603,AM,4/21/01,Manaus,26.27752,22.7584,29.81558
11401.092,1302603,AM,4/22/01,Manaus,26.08288,23.38308,31.5275
11401.092,1302603,AM,4/23/01,Manaus,26.45004,22.78582,32.5998
11401.092,1302603,AM,4/24/01,Manaus,26.4372,22.63995,31.7295
11401.092,1302603,AM,4/25/01,Manaus,26.16116,22.41177,31.45144
11401.092,1302603,AM,4/26/01,Manaus,26.57464,22.5452,31.03997
11401.092,1302603,AM,4/27/01,Manaus,26.8161,23.02273,33.00378
11401.092,1302603,AM,4/28/01,Manaus,26.42498,22.65118,32.36166
11401.092,1302603,AM,4/29/01,Manaus,26.3281,22.47286,30.68838
11401.092,1302603,AM,4/30/01,Manaus,26.31063,22.6125,31.18588
11401.092,1302603,AM,5/1/01,Manaus,26.07214,22.64742,30.70208
11401.092,1302603,AM,5/2/01,Manaus,25.46496,22.07137,29.449
11401.092,1302603,AM,5/3/01,Manaus,25.22396,21.8881,28.5924
11401.092,1302603,AM,5/4/01,Manaus,26.02596,22.70104,31.1896
11401.092,1302603,AM,5/5/01,Manaus,25.71798,22.22598,31.0375
11401.092,1302603,AM,5/6/01,Manaus,26.39114,22.2684,32.0574
11401.092,1302603,AM,5/7/01,Manaus,26.71313,22.86813,30.7557
11401.092,1302603,AM,5/8/01,Manaus,26.86498,22.4978,30.8916
11401.092,1302603,AM,5/9/01,Manaus,26.45062,22.812,31.00756
11401.092,1302603,AM,5/10/01,Manaus,25.29803,22.49407,29.33056
11401.092,1302603,AM,5/11/01,Manaus,24.7799,22.2048,27.1822
11401.092,1302603,AM,5/12/01,Manaus,26.39706,22.822,31.5674
11401.092,1302603,AM,5/13/01,Manaus,26.41958,22.74468,31.4053
11401.092,1302603,AM,5/14/01,Manaus,26.04113,22.62747,30.95394
11401.092,1302603,AM,5/15/01,Manaus,25.46383,22.06515,29.3293
11401.092,1302603,AM,5/16/01,Manaus,25.76284,21.82076,30.30435
11401.092,1302603,AM,5/17/01,Manaus,26.36443,21.70605,31.40032
11401.092,1302603,AM,5/18/01,Manaus,26.80847,23.11874,32.20703
11401.092,1302603,AM,5/19/01,Manaus,26.6317,22.4791,31.54495
11401.092,1302603,AM,5/20/01,Manaus,26.58074,22.1624,31.7856
11401.092,1302603,AM,5/21/01,Manaus,26.41485,22.14742,31.61355
11401.092,1302603,AM,5/22/01,Manaus,25.81872,22.6599,30.5699
11401.092,1302603,AM,5/23/01,Manaus,24.78945,21.827,27.53134
11401.092,1302603,AM,5/24/01,Manaus,25.65405,21.67614,32.7494
11401.092,1302603,AM,5/25/01,Manaus,25.9728,21.92922,31.55367
11401.092,1302603,AM,5/26/01,Manaus,26.0039,21.54522,31.51003
11401.092,1302603,AM,5/27/01,Manaus,26.36846,22.08758,32.03
11401.092,1302603,AM,5/28/01,Manaus,26.52682,22.13497,32.4165
11401.092,1302603,AM,5/29/01,Manaus,27.2496,22.03896,33.40652
11401.092,1302603,AM,5/30/01,Manaus,26.7015,22.24468,32.55615
11401.092,1302603,AM,5/31/01,Manaus,26.70278,21.82824,32.97137
11401.092,1302603,AM,6/1/01,Manaus,25.4629,21.721,28.20962
11401.092,1302603,AM,6/2/01,Manaus,25.63207,21.34072,31.5861
11401.092,1302603,AM,6/3/01,Manaus,23.58178,21.09884,26.11242
11401.092,1302603,AM,6/4/01,Manaus,24.67224,20.9467,30.12603
11401.092,1302603,AM,6/5/01,Manaus,26.05322,21.1113,32.23074
11401.092,1302603,AM,6/6/01,Manaus,25.81442,21.36193,30.87042
11401.092,1302603,AM,6/7/01,Manaus,25.63644,21.2759,30.40035
11401.092,1302603,AM,6/8/01,Manaus,25.06365,21.54397,29.56744
11401.092,1302603,AM,6/9/01,Manaus,25.20806,21.79458,30.3779
11401.092,1302603,AM,6/10/01,Manaus,25.6241,21.59634,31.05245
11401.092,1302603,AM,6/11/01,Manaus,25.30892,21.8831,29.10363
11401.092,1302603,AM,6/12/01,Manaus,24.24685,21.34448,27.10366
11401.092,1302603,AM,6/13/01,Manaus,24.6569,21.32452,30.33178
11401.092,1302603,AM,6/14/01,Manaus,24.58383,21.1961,29.02007
11401.092,1302603,AM,6/15/01,Manaus,25.20828,21.5689,31.10232
11401.092,1302603,AM,6/16/01,Manaus,25.89895,22.09008,31.16717
11401.092,1302603,AM,6/17/01,Manaus,25.38485,21.99282,28.81933
11401.092,1302603,AM,6/18/01,Manaus,25.30047,21.51528,29.76818
11401.092,1302603,AM,6/19/01,Manaus,23.738,21.56765,26.85806
11401.092,1302603,AM,6/20/01,Manaus,22.3249,20.43676,24.64114
11401.092,1302603,AM,6/21/01,Manaus,22.02422,19.34326,24.9379
11401.092,1302603,AM,6/22/01,Manaus,22.62563,20.6674,24.9092
11401.092,1302603,AM,6/23/01,Manaus,23.9303,20.8657,28.68966
11401.092,1302603,AM,6/24/01,Manaus,24.1285,21.1774,28.4378
11401.092,1302603,AM,6/25/01,Manaus,25.1089,21.27838,30.4128
11401.092,1302603,AM,6/26/01,Manaus,25.67053,21.04397,31.7195
11401.092,1302603,AM,6/27/01,Manaus,25.4313,21.231,30.88912
11401.092,1302603,AM,6/28/01,Manaus,25.13384,21.06143,29.343
11401.092,1302603,AM,6/29/01,Manaus,25.5311,21.69982,30.4128
11401.092,1302603,AM,6/30/01,Manaus,25.94402,21.42178,31.30682
11401.092,1302603,AM,7/1/01,Manaus,25.49886,21.14373,30.9415
11401.092,1302603,AM,7/2/01,Manaus,26.50637,21.28213,31.58984
11401.092,1302603,AM,7/3/01,Manaus,26.96572,22.08386,32.7332
11401.092,1302603,AM,7/4/01,Manaus,25.91528,21.67736,30.60858
11401.092,1302603,AM,7/5/01,Manaus,26.1321,21.35446,31.97387
11401.092,1302603,AM,7/6/01,Manaus,25.4159,22.14495,28.62606
11401.092,1302603,AM,7/7/01,Manaus,25.53835,21.49407,30.9876
11401.092,1302603,AM,7/8/01,Manaus,24.90673,21.57638,29.0787
11401.092,1302603,AM,7/9/01,Manaus,25.5847,21.15994,31.328
11401.092,1302603,AM,7/10/01,Manaus,26.31768,21.59384,31.8629
11401.092,1302603,AM,7/11/01,Manaus,26.53857,21.72225,33.23693
11401.092,1302603,AM,7/12/01,Manaus,25.68194,21.41927,30.36544
11401.092,1302603,AM,7/13/01,Manaus,26.23794,21.7547,31.33798
11401.092,1302603,AM,7/14/01,Manaus,25.33407,21.90182,28.76946
11401.092,1302603,AM,7/15/01,Manaus,25.17565,21.3058,28.49517
11401.092,1302603,AM,7/16/01,Manaus,24.97354,21.10632,29.08492
11401.092,1302603,AM,7/17/01,Manaus,25.12234,21.6886,30.14724
11401.092,1302603,AM,7/18/01,Manaus,26.0758,21.13125,31.91403
11401.092,1302603,AM,7/19/01,Manaus,26.8874,21.28213,31.9502
11401.092,1302603,AM,7/20/01,Manaus,27.20556,21.3295,32.69454
11401.092,1302603,AM,7/21/01,Manaus,27.0526,21.61752,33.2407
11401.092,1302603,AM,7/22/01,Manaus,25.53338,20.95794,30.43652
11401.092,1302603,AM,7/23/01,Manaus,24.21337,21.25594,26.68972
11401.092,1302603,AM,7/24/01,Manaus,25.63247,20.93426,31.42028
11401.092,1302603,AM,7/25/01,Manaus,25.34228,20.731,31.38537
11401.092,1302603,AM,7/26/01,Manaus,25.75594,20.3071,32.24194
11401.092,1302603,AM,7/27/01,Manaus,25.48354,21.1749,29.8667
11401.092,1302603,AM,7/28/01,Manaus,25.10104,21.76342,30.2158
11401.092,1302603,AM,7/29/01,Manaus,23.54348,20.36694,27.26327
11401.092,1302603,AM,7/30/01,Manaus,24.85082,20.32455,29.44402
11401.092,1302603,AM,7/31/01,Manaus,25.81964,21.0839,31.4901
11401.092,1302603,AM,8/1/01,Manaus,26.4972,21.48287,31.94518
11401.092,1302603,AM,8/2/01,Manaus,26.66937,21.6624,32.44644
11401.092,1302603,AM,8/3/01,Manaus,26.9402,21.81204,32.90652
11401.092,1302603,AM,8/4/01,Manaus,26.5628,21.31954,33.00002
11401.092,1302603,AM,8/5/01,Manaus,27.0362,22.7023,32.93145
11401.092,1302603,AM,8/6/01,Manaus,27.18392,21.96414,32.8504
11401.092,1302603,AM,8/7/01,Manaus,27.61508,22.53146,33.5424
11401.092,1302603,AM,8/8/01,Manaus,27.1373,22.45043,33.98754
11401.092,1302603,AM,8/9/01,Manaus,27.35522,22.6811,32.84542
11401.092,1302603,AM,8/10/01,Manaus,27.14813,21.9816,32.95638
11401.092,1302603,AM,8/11/01,Manaus,27.09664,22.01153,33.31173
11401.092,1302603,AM,8/12/01,Manaus,26.43047,22.80703,32.41525
11401.092,1302603,AM,8/13/01,Manaus,25.6237,22.2497,30.92153
11401.092,1302603,AM,8/14/01,Manaus,26.68737,22.10504,32.84292
11401.092,1302603,AM,8/15/01,Manaus,27.52813,22.1786,33.5337
11401.092,1302603,AM,8/16/01,Manaus,28.02206,22.35067,34.0611
11401.092,1302603,AM,8/17/01,Manaus,28.32998,22.85314,34.32293
11401.092,1302603,AM,8/18/01,Manaus,28.44326,22.80453,34.65212
11401.092,1302603,AM,8/19/01,Manaus,28.93408,23.5564,35.04238
11401.092,1302603,AM,8/20/01,Manaus,28.27102,23.76708,34.57107
11401.092,1302603,AM,8/21/01,Manaus,28.02056,23.20352,34.40273
11401.092,1302603,AM,8/22/01,Manaus,26.68484,22.63494,32.30804
11401.092,1302603,AM,8/23/01,Manaus,26.38256,22.0801,32.80926
11401.092,1302603,AM,8/24/01,Manaus,25.83853,22.4205,29.87045
11401.092,1302603,AM,8/25/01,Manaus,26.52035,21.6936,33.116
11401.092,1302603,AM,8/26/01,Manaus,27.4335,22.19232,33.9227
11401.092,1302603,AM,8/27/01,Manaus,28.25164,22.4791,34.0237
11401.092,1302603,AM,8/28/01,Manaus,28.64068,22.45043,35.14712
11401.092,1302603,AM,8/29/01,Manaus,28.88473,22.30206,34.2556
11401.092,1302603,AM,8/30/01,Manaus,28.8144,23.24465,34.55236
11401.092,1302603,AM,8/31/01,Manaus,27.804,23.06136,33.23318
11401.092,1302603,AM,9/1/01,Manaus,27.14605,22.47537,34.1858
11401.092,1302603,AM,9/2/01,Manaus,27.49917,22.59756,34.21197
11401.092,1302603,AM,9/3/01,Manaus,27.4239,23.0776,33.64218
11401.092,1302603,AM,9/4/01,Manaus,27.73132,22.44296,34.4102
11401.092,1302603,AM,9/5/01,Manaus,27.8409,23.15988,35.096
11401.092,1302603,AM,9/6/01,Manaus,26.6803,22.4654,31.01754
11401.092,1302603,AM,9/7/01,Manaus,25.8563,22.4716,30.84423
11401.092,1302603,AM,9/8/01,Manaus,25.50753,22.09756,30.72576
11401.092,1302603,AM,9/9/01,Manaus,26.5797,22.34445,32.50253
11401.092,1302603,AM,9/10/01,Manaus,26.46398,22.42672,33.26437
11401.092,1302603,AM,9/11/01,Manaus,27.0403,22.01153,33.7419
11401.092,1302603,AM,9/12/01,Manaus,27.0468,22.23098,33.1771
11401.092,1302603,AM,9/13/01,Manaus,26.11642,22.24594,30.51006
11401.092,1302603,AM,9/14/01,Manaus,27.2471,22.47286,33.4439
11401.092,1302603,AM,9/15/01,Manaus,27.8824,22.08633,33.41647
11401.092,1302603,AM,9/16/01,Manaus,27.44326,23.0115,33.23568
11401.092,1302603,AM,9/17/01,Manaus,26.9289,22.16488,31.93023
11401.092,1302603,AM,9/18/01,Manaus,26.00076,21.7709,32.4988
11401.092,1302603,AM,9/19/01,Manaus,25.69995,21.3831,30.9265
11401.092,1302603,AM,9/20/01,Manaus,25.25057,21.56765,29.73452
11401.092,1302603,AM,9/21/01,Manaus,25.35174,21.93673,30.6734
11401.092,1302603,AM,9/22/01,Manaus,26.32287,21.20358,32.818
11401.092,1302603,AM,9/23/01,Manaus,26.87664,22.02523,33.21075
11401.092,1302603,AM,9/24/01,Manaus,26.82348,22.04394,33.808
11401.092,1302603,AM,9/25/01,Manaus,26.79427,21.7397,32.96014
11401.092,1302603,AM,9/26/01,Manaus,27.47558,22.21102,33.6746
11401.092,1302603,AM,9/27/01,Manaus,28.26373,22.67983,34.7818
11401.092,1302603,AM,9/28/01,Manaus,28.6849,22.72347,34.13342
11401.092,1302603,AM,9/29/01,Manaus,28.65142,23.15615,35.22067
11401.092,1302603,AM,9/30/01,Manaus,27.6635,23.15862,33.0998
11401.092,1302603,AM,10/1/01,Manaus,28.4374,22.96414,33.98254
11401.092,1302603,AM,10/2/01,Manaus,28.6462,22.41302,34.8279
11401.092,1302603,AM,10/3/01,Manaus,28.78146,22.97286,34.71444
11401.092,1302603,AM,10/4/01,Manaus,28.9487,23.46536,35.2132
11401.092,1302603,AM,10/5/01,Manaus,29.54678,23.28582,36.5037
11401.092,1302603,AM,10/6/01,Manaus,29.73873,23.1262,36.37277
11401.092,1302603,AM,10/7/01,Manaus,29.52517,22.2659,36.22936
11401.092,1302603,AM,10/8/01,Manaus,29.4196,24.09252,35.43887
11401.092,1302603,AM,10/9/01,Manaus,28.5994,24.1312,32.9539
11401.092,1302603,AM,10/10/01,Manaus,27.72805,23.994,33.73818
11401.092,1302603,AM,10/11/01,Manaus,27.9556,23.014,35.62838
11401.092,1302603,AM,10/12/01,Manaus,26.13503,21.9704,32.54992
11401.092,1302603,AM,10/13/01,Manaus,26.31204,22.51776,31.29308
11401.092,1302603,AM,10/14/01,Manaus,27.65984,22.9828,33.59976
11401.092,1302603,AM,10/15/01,Manaus,27.7367,22.72723,33.77557
11401.092,1302603,AM,10/16/01,Manaus,26.978,23.29952,32.02
11401.092,1302603,AM,10/17/01,Manaus,27.59344,23.15615,32.9963
11401.092,1302603,AM,10/18/01,Manaus,28.06774,23.8045,34.10226
11401.092,1302603,AM,10/19/01,Manaus,28.67108,22.82574,35.1421
11401.092,1302603,AM,10/20/01,Manaus,29.70602,23.2459,36.60095
11401.092,1302603,AM,10/21/01,Manaus,30.72946,24.2995,37.58346
11401.092,1302603,AM,10/22/01,Manaus,30.28417,24.65734,36.3341
11401.092,1302603,AM,10/23/01,Manaus,29.23354,25.38925,34.904
11401.092,1302603,AM,10/24/01,Manaus,27.60018,24.105,34.46508
11401.092,1302603,AM,10/25/01,Manaus,27.14318,23.5751,34.39526
11401.092,1302603,AM,10/26/01,Manaus,25.2759,22.529,28.59365
